datetime,Open,High,Low,Close,Volume
2024-06-10 06:43:00,69520.21,69520.21,69520.21,69520.21,0.02518133
2024-06-10 06:45:00,69500.83,69500.83,69483.21,69484.72,0.10952026
2024-06-10 06:47:00,69491.62,69491.62,69472.32,69472.33,0.13588158
2024-06-10 06:48:00,69472.33,69472.33,69342.04,69357.58,3.152897
2024-06-10 06:49:00,69367.4,69433.33,69367.4,69410.06,0.35453778
2024-06-10 06:51:00,69442.71,69442.71,69428.03,69428.03,0.07562693
2024-06-10 06:52:00,69406.78,69428.88,69404.16,69428.88,0.05047899
2024-06-10 06:53:00,69430.54,69443.37,69423.31,69443.37,0.0525752
2024-06-10 06:55:00,69475.39,69475.39,69453.94,69453.95,0.05067798
2024-06-10 06:57:00,69422.54,69445.41,69422.54,69445.41,0.0003566
2024-06-10 06:58:00,69434.4,69448.98,69434.4,69436.03,0.00214989
2024-06-10 07:00:00,69447.04,69447.04,69418.83,69418.83,0.05048199
2024-06-10 07:01:00,69414.02,69431.82,69414.02,69427.41,0.13923525
2024-06-10 07:02:00,69416.26,69416.49,69416.26,69416.49,0.05046062
2024-06-10 07:05:00,69397.63,69398.08,69339.73,69351.86,0.78102393
2024-06-10 07:06:00,69399.5,69402.05,69399.38,69402.05,0.00014838
2024-06-10 07:07:00,69389.06,69389.06,69370.59,69370.59,0.02524026
2024-06-10 07:08:00,69370.59,69370.59,69370.59,69370.59,5.766e-05
2024-06-10 07:09:00,69407.77,69414.12,69385.1,69385.1,0.07672315
2024-06-10 07:11:00,69392.47,69392.47,69392.46,69392.46,0.03618073
2024-06-10 07:12:00,69403.09,69404.35,69395.46,69401.06,0.11334955
2024-06-10 07:13:00,69386.97,69386.98,69386.97,69386.98,0.02569942
2024-06-10 07:16:00,69451.41,69466.76,69451.41,69466.76,0.00695433
2024-06-10 07:18:00,69487.47,69497.42,69487.47,69497.42,0.38290099
2024-06-10 07:19:00,69483.58,69483.58,69469.38,69469.38,0.08070173
2024-06-10 07:21:00,69471.27,69471.27,69471.27,69471.27,0.04101806
2024-06-10 07:22:00,69457.08,69457.08,69455.62,69455.62,0.12918174
2024-06-10 07:25:00,69476.1,69478.39,69476.1,69478.39,0.04658642
2024-06-10 07:26:00,69481.31,69481.31,69475.81,69475.81,0.10817881
2024-06-10 07:27:00,69468.1,69468.1,69468.1,69468.1,0.01530754
2024-06-10 07:29:00,69467.04,69467.04,69457.77,69457.77,0.0002
2024-06-10 07:30:00,69467.42,69467.42,69467.42,69467.42,9.403e-05
2024-06-10 07:31:00,69469.94,69469.94,69461.37,69461.37,0.02740917
2024-06-10 07:33:00,69419.84,69420.55,69406.35,69406.35,0.02534055
2024-06-10 07:37:00,69406.0,69406.01,69395.08,69395.19,0.0004
2024-06-10 07:39:00,69389.95,69389.95,69380.03,69380.03,0.02265603
2024-06-10 07:40:00,69374.06,69374.06,69337.15,69360.96,0.21441617
2024-06-10 07:41:00,69343.78,69343.78,69343.78,69343.78,0.0001
2024-06-10 07:42:00,69366.4,69383.44,69366.4,69376.33,0.17297289
2024-06-10 07:43:00,69383.99,69383.99,69383.99,69383.99,0.02522756
2024-06-10 07:45:00,69358.19,69358.19,69358.19,69358.19,0.0001
2024-06-10 07:46:00,69359.93,69363.07,69359.93,69363.07,0.02533638
2024-06-10 07:48:00,69347.62,69347.62,69321.92,69321.92,0.0988496
2024-06-10 07:49:00,69334.19,69343.71,69334.19,69343.71,0.39626056
2024-06-10 07:51:00,69338.06,69357.34,69338.06,69357.33,0.48451593
2024-06-10 07:53:00,69321.16,69335.57,69320.33,69333.55,0.08961649
2024-06-10 07:54:00,69316.66,69316.66,69301.59,69304.42,0.06885404
2024-06-10 07:55:00,69292.7,69336.14,69292.7,69331.69,0.22472491
2024-06-10 07:57:00,69314.94,69314.94,69314.94,69314.94,1.442e-05
